"Token ID","Aura","Background","Shape","Item","Hair","Tattoo","Clothes","Mask","Hat"
0,"Night","Shooting Stars","Circle Frame","No Item","Yellow","Crossed Out","Hoodie - Emoticon","Motorcycle Helmet - Black","No Hat"
1,"No Aura","Colorful Clouds","Circle Frame","Yellow Katana","Red","No Tattoo","Shirt 7 - Black","Fox Mask - Scarred","Bucket Hat White Kumo Motif"
2,"Night","Colorful Clouds","Minimal Frame","No Item","Yellow","No Tattoo","Sweater - One Shoulder Blue Demon","LED Japanese Mask","Rice Hat - Package"
3,"Night","Japanese Motif - Blue","Circle Frame","No Item","Orange-Red","No Tattoo","Hoodie - Painted","Fox Mask - Emoticon","Beanie - Yellow"
4,"No Aura","Light Blue","Circle Frame","No Item","Black","Heart 7","Shirt - Isekai Postal","Beak Mask - Metal","Hat - Emoticon Black"
5,"No Aura","Night Sky","Square Frame","No Item","White","No Tattoo","Shirt - Pixel","Motorcycle Helmet - Roughed","No Hat"
6,"No Aura","Pixel - Piano in a Sea","Minimal Frame","No Item","Red","Greek Letters","Kimono - Blue Green","Akuma Half Mask - Black","Bucket Hat White Kumo Motif"
7,"No Aura","Japanese Motif - Blue","Circle Frame","Chef Knife","Yellow","No Tattoo","Sweater - One Shoulder Cherry Blossoms","Painted Owl mask","Rice Hat - Sunflower"
8,"No Aura","Shooting Stars","Square Frame","Metal Monkey Staff","Orange-Red","No Tattoo","Sweater - One Shoulder Cherry Blossoms","Akuma Half Mask - White","Rice Hat - Sunflower"
9,"Light","Colorful Clouds","Minimal Frame","Red Katana","Yellow","Seven","Sweater - Cherry Blossoms","LED Japanese Mask","Beanie - Gray"
10,"No Aura","Pixel - Piano in a Sea","Square Frame","Gold Chef Knife","Yellow","Seven","Sweater - Space","Motorcycle Helmet - Roughed","No Hat"
11,"No Aura","Pixel - Piano in a Sea","Minimal Frame","Red Space Fork","Yellow","Black Flames","Shirt - Painted Tee","Motorcycle Helmet - Roughed","No Hat"
12,"Night","Japanese Motif - Yellow","Circle Frame","No Item","Yellow","Black Flames","Sweater - Black and Orange","Beak Mask - Metal","Hat - 7 Wave"
13,"No Aura","Bananaz!","Circle Frame","No Item","Orange-Red","No Tattoo","Shirt 7 - Black","Elder Skull","Hat - 7 White"
14,"No Aura","Japanese Motif - Blue","Minimal Frame","No Item","Red","Seven","Sweater - One Shoulder Cherry Blossoms","Full Face Mask - Double Line","Rice Hat - Package"
15,"No Aura","Japanese Motif - Blue","Circle Frame","Dark Katana","Red","Seven","Sweater - One Shoulder Cherry Blossoms","Kaiju Mecha Mask - Black","Hat - 7 Wave"
16,"No Aura","Colorful Clouds","Circle Frame","Red Scythe","Orange-Red","No Tattoo","Shirt 7 - White","Painted Lion Mask","Hat - Emoticon Black"
17,"Night","Painted Brush","Minimal Frame","Red Scythe","Orange-Red","Star","Shirt - Japanese Black","Kaiju Mecha Mask - 07","Hat - 7 Wave"
18,"No Aura","Pixel - Day on an Island","Square Frame","No Item","White","Constellation","Shirt - Sevens Block","Red-eyed Owl","Beanie - Aqua"
19,"Light","Japanese Motif - Yellow","Square Frame","Red Katana","Black","No Tattoo","Sweater - One Shoulder Blue Demon","Hype Black Mask","Rice Hat - Blue"
20,"No Aura","Japanese Motif - Pink","Square Frame","No Item","Black","Seven","Sweater - One Shoulder Red Demon","Mascot - Shiba Inu","No Hat"
21,"Night","Painted Brush","Square Frame","No Item","Orange-Red","Sakura Petal","Sweater - Kintsugi","Motorcycle Helmet - Roughed","No Hat"
22,"No Aura","Red","Minimal Frame","Black Scythe","Red","Black Flames","Shirt - Japanese Black","Red-eyed Owl","Beanie - Black"
23,"No Aura","Pixel - Day on an Island","Circle Frame","Red Monkey Staff","Yellow","Kanji","Hoodie - Painted","Akuma Half Mask - Black","Rice Hat - Sunflower"
24,"Light","Light Blue","Minimal Frame","Red Space Fork","Red","Heart 7","Shirt - Japanese Black","Full Face Mask - ???","Beanie - White"
25,"No Aura","Colorful Clouds","Minimal Frame","Metal Pipe","White","No Tattoo","Shirt 7 - Black","Petrified Skull","Hat - 7 Black"
26,"No Aura","Pixel - Piano in a Sea","Minimal Frame","Banana","Black","No Tattoo","Shirt 7 - Black","Hype Red Mask","Bucket Hat Black"
